Pt1	Int32	String	Text	StringEnum	Int32	StringEnum	String	String	Int32	String	Int32	Int32	Int32	String	Int32	Int32	Char
	No	Empresa	UEB/OC	Provincia	UEB Alimatic	Sist. Cont	Migración	Nómina	C	Real	Plan	ADSL	PAP	Aumento	Maq Env	PLC	S
	2	Lácteos Pinar del Río	Servicio	Pinar del Río	0	Sicema SQL		SQL	5	128d				#VALUE!			G
	2	Lácteos Pinar del Río	Mantenimiento	Pinar del Río	0	Sicema SQL		SQL	5	128d				#VALUE!			G
	2	Lácteos Pinar del Río	Aseguramiento	Pinar del Río	0	Sicema SQL		SQL	5	128d				#VALUE!			G
	94	PESCAGUAN	Baramar	Guantánamo	0	Siscomip	01/10/2017	SQL	5					0			G
	2	Lácteos Pinar del Río	Combinado Lácteo Sandino	Pinar del Río	0	Sicema SQL		SQL	5				1	0			G
	2	Lácteos Pinar del Río	Oficina Central	Artemisa	0	Sicema SQL		SQL	5	128		1		-128			G
	1	Cárnica Pinar del Río	Fulgencio Oroz	Artemisa	0	Sicema SQL		SQL	5				1	0			G
	1	Cárnica Pinar del Río	Viñales	Pinar del Río	0	Sicema SQL		SQL	5				1	0			G
	1	Cárnica Pinar del Río	Venegas	Pinar del Río	0	Sicema SQL		SQL	5				1	0			G
	1	Cárnica Pinar del Río	Guane	Pinar del Río	0	Sicema SQL		SQL	5				1	0			G
	1	Cárn,ica Pinar del Río	Aseguramiento	Pinar del Río	0	Sicema SQL		SQL	5					0			G
	1	"Cárnica ""Pinar del Río"""	Oficina Central	Pinar del Río	0	Sicema SQL		SQL	5	128		1	1	-128			G
	2	Lácteos Pinar del Río	Combinado Lácteo Pinar del Río y Confitería	Pinar del Río	0	Sicema SQL		SQL	5	128d				#VALUE!			G
	94	PESCAGUAN	Caimar	Guantánamo	0	Siscomip	01/10/2017	SQL	5					0			G
	94	PESCAGUAN	Oficina Central	Guantánamo	0	Siscomip	01/10/2017	SQL	5	64	256	1		192			G
	93	PESCATUN	Manatí	Las Tunas	0	Siscomip	01/07/2017	SQL	5					0			G
	90	Lácteos Guantánamo	Helados y Mezcla Física	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	90	Lácteos Guantánamo	Planta de Leche	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	90	Lácteos Guantánamo	Logistica	Guantánamo	0	Sicema SQL	01/07/2017	SQL	5					0			G
	90	Lácteos Guantánamo	Baracoa	Guantánamo	0	Sicema SQL		SQL	5					0			G
	91	EPA Isla	Oficina Central	Isla de la Juventud	0	Siscomip	01/10/2017	SQL	5	128	512	1		384			G
